timestamp,fps,width,height
2026-07-11 15:01:35,0.79,640,480
2026-07-11 15:01:36,5.96,640,480
2026-07-11 15:01:37,19.38,640,480
2026-07-11 15:01:38,20.35,640,480
2026-07-11 15:01:39,20.27,640,480
2026-07-11 15:01:40,20.00,640,480
2026-07-11 15:01:41,20.35,640,480
2026-07-11 15:01:42,19.99,640,480
2026-07-11 15:01:43,19.74,640,480
2026-07-11 15:01:44,20.00,640,480
2026-07-11 15:01:45,20.35,640,480
2026-07-11 15:01:46,20.27,640,480
2026-07-11 15:01:48,19.74,640,480
2026-07-11 15:01:49,20.35,640,480
2026-07-11 15:01:50,20.27,640,480
2026-07-11 15:01:51,20.00,640,480
2026-07-11 15:01:52,20.33,640,480
2026-07-11 15:01:53,19.75,640,480
2026-07-11 15:01:54,20.00,640,480
2026-07-11 15:01:55,20.27,640,480
2026-07-11 15:01:56,20.35,640,480
2026-07-11 15:01:57,19.74,640,480
2026-07-11 15:01:58,20.27,640,480
2026-07-11 15:01:59,20.34,640,480
2026-07-11 15:02:00,19.74,640,480
2026-07-11 15:02:01,19.98,640,480
2026-07-11 15:02:02,20.36,640,480
2026-07-11 15:02:15,0.91,320,240
2026-07-11 15:02:16,18.96,320,240
2026-07-11 15:02:17,20.35,320,240
2026-07-11 15:02:18,19.98,320,240
2026-07-11 15:02:19,20.29,320,240
2026-07-11 15:02:20,20.33,320,240
2026-07-11 15:02:21,19.76,320,240
2026-07-11 15:02:22,20.27,320,240
2026-07-11 15:02:23,20.35,320,240
2026-07-11 15:02:24,19.99,320,240
2026-07-11 15:02:25,19.98,320,240
2026-07-11 15:02:26,19.77,320,240
2026-07-11 15:02:27,20.35,320,240
2026-07-11 15:02:28,20.27,320,240
2026-07-11 15:02:29,19.74,320,240
2026-07-11 15:02:30,20.35,320,240
2026-07-11 15:02:31,20.00,320,240
2026-07-11 15:02:32,20.27,320,240
2026-07-11 15:02:33,20.35,320,240
2026-07-11 15:02:34,19.74,320,240
2026-07-11 15:02:35,18.94,320,240
2026-07-11 15:02:36,14.43,320,240
2026-07-11 15:02:37,10.74,320,240
2026-07-11 15:02:38,15.80,320,240
2026-07-11 15:02:39,20.28,320,240
2026-07-11 15:02:40,20.34,320,240
2026-07-11 15:02:41,19.74,320,240
2026-07-11 15:02:57,0.90,352,288
2026-07-11 15:02:58,20.02,352,288
2026-07-11 15:02:59,20.00,352,288
2026-07-11 15:03:00,20.35,352,288
2026-07-11 15:03:01,19.99,352,288
2026-07-11 15:03:02,20.28,352,288
2026-07-11 15:03:03,20.00,352,288
2026-07-11 15:03:04,20.35,352,288
2026-07-11 15:03:05,20.00,352,288
2026-07-11 15:03:06,19.99,352,288
2026-07-11 15:03:07,20.36,352,288
2026-07-11 15:03:08,19.74,352,288
2026-07-11 15:03:09,20.28,352,288
2026-07-11 15:03:10,20.35,352,288
2026-07-11 15:03:11,20.00,352,288
2026-07-11 15:03:12,20.00,352,288
2026-07-11 15:03:13,19.74,352,288
2026-07-11 15:03:14,20.35,352,288
2026-07-11 15:03:15,20.00,352,288
2026-07-11 15:03:16,19.99,352,288
2026-07-11 15:03:17,20.35,352,288
2026-07-11 15:03:18,19.97,352,288
2026-07-11 15:03:20,20.30,352,288
2026-07-11 15:03:21,19.99,352,288
